,createdTime,creatorToken,endTime,id,metrics,operationName,operationParams,results,runId,startTime,status,tableId,url
10,2016-12-07T09:39:34+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:39:35+0100,19733549,"{u'inCompressed': False, u'inBytesUncompressed': 0, u'outBytes': 0, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': False}",workspaceDrop,"{u'queue': u'main_fast', u'workspaceId': u'43722'}",,220006106.220008348,2016-12-07T09:39:34+0100,success,,https://connection.keboola.com/v2/storage/jobs/19733549
11,2016-12-07T09:39:21+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:39:27+0100,19733545,"{u'inCompressed': False, u'inBytesUncompressed': 31457280, u'outBytes': 0, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': False}",tableImport,"{u'queue': u'main', u'source': {u'type': u'workspace', u'workspaceId': u'43722', u'tableName': u'page_pos_fact'}, u'params': {u'transaction': None, u'partial': False, u'source': [], u'incremental': False, u'withoutHeaders': False, u'columns': []}}","{u'totalDataSizeBytes': 31457280, u'importedColumns': [u'id', u'campaign_id', u'event_date', u'pos', u'site_section', u'site_country', u'portal', u'international', u'most_used', u'impressions', u'clicks'], u'transaction': None, u'totalRowsCount': 50010, u'warnings': []}",220006106.220008348,2016-12-07T09:39:21+0100,success,out.c-AdOps-rs.page_pos_fact,https://connection.keboola.com/v2/storage/jobs/19733545
12,2016-12-07T09:39:06+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:39:16+0100,19733539,"{u'inCompressed': False, u'inBytesUncompressed': 56623104, u'outBytes': 0, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': False}",tableImport,"{u'queue': u'main', u'source': {u'type': u'workspace', u'workspaceId': u'43722', u'tableName': u'state_country_fact'}, u'params': {u'transaction': None, u'partial': False, u'source': [], u'incremental': False, u'withoutHeaders': False, u'columns': []}}","{u'totalDataSizeBytes': 56623104, u'importedColumns': [u'scf_id', u'scf_campaign_id', u'scf_event_date', u'scf_geograph_id', u'scf_impression_attribution', u'scf_click_attribution', u'scf_pos_id', u'scf_pos_impressions', u'scf_pos_clicks', u'scf_est_impressions', u'scf_est_clicks'], u'transaction': None, u'totalRowsCount': 685580, u'warnings': []}",220006106.220008348,2016-12-07T09:39:06+0100,success,out.c-AdOps-rs.state_country_fact,https://connection.keboola.com/v2/storage/jobs/19733539
13,2016-12-07T09:38:52+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:39:01+0100,19733529,"{u'inCompressed': False, u'inBytesUncompressed': 54525952, u'outBytes': 0, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': False}",tableImport,"{u'queue': u'main', u'source': {u'type': u'workspace', u'workspaceId': u'43722', u'tableName': u'dma_fact'}, u'params': {u'transaction': None, u'partial': False, u'source': [], u'incremental': False, u'withoutHeaders': False, u'columns': []}}","{u'totalDataSizeBytes': 54525952, u'importedColumns': [u'dma_id', u'dma_campaign_id', u'dma_event_date', u'dma_geography', u'dma_impression_attribution', u'dma_click_attribution', u'dma_pos_id', u'dma_pos_impressions', u'dma_pos_clicks', u'dma_est_impressions', u'dma_est_clicks'], u'transaction': None, u'totalRowsCount': 577226, u'warnings': []}",220006106.220008348,2016-12-07T09:38:52+0100,success,out.c-AdOps-rs.dma_fact,https://connection.keboola.com/v2/storage/jobs/19733529
14,2016-12-07T09:38:37+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:38:45+0100,19733522,"{u'inCompressed': False, u'inBytesUncompressed': 12582912, u'outBytes': 0, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': False}",tableImport,"{u'queue': u'main', u'source': {u'type': u'workspace', u'workspaceId': u'43722', u'tableName': u'dma_geo_dim'}, u'params': {u'transaction': None, u'partial': False, u'source': [], u'incremental': False, u'withoutHeaders': False, u'columns': []}}","{u'totalDataSizeBytes': 12582912, u'importedColumns': [u'dma_geo_id', u'dma_geography'], u'transaction': None, u'totalRowsCount': 212, u'warnings': []}",220006106.220008348,2016-12-07T09:38:37+0100,success,out.c-AdOps-rs.dma_geo_dim,https://connection.keboola.com/v2/storage/jobs/19733522
15,2016-12-07T09:38:30+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:38:35+0100,19733520,"{u'inCompressed': False, u'inBytesUncompressed': 18874368, u'outBytes': 0, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': False}",tableImport,"{u'queue': u'main', u'source': {u'type': u'workspace', u'workspaceId': u'43722', u'tableName': u'position_dim'}, u'params': {u'transaction': None, u'partial': False, u'source': [], u'incremental': False, u'withoutHeaders': False, u'columns': []}}","{u'totalDataSizeBytes': 18874368, u'importedColumns': [u'id', u'pos', u'site_section', u'portal', u'most_used'], u'transaction': None, u'totalRowsCount': 283, u'warnings': []}",220006106.220008348,2016-12-07T09:38:30+0100,success,out.c-AdOps-rs.position_dim,https://connection.keboola.com/v2/storage/jobs/19733520
16,2016-12-07T09:38:24+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:38:29+0100,19733518,"{u'inCompressed': False, u'inBytesUncompressed': 20971520, u'outBytes': 0, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': False}",tableImport,"{u'queue': u'main', u'source': {u'type': u'workspace', u'workspaceId': u'43722', u'tableName': u'state_country_dim'}, u'params': {u'transaction': None, u'partial': False, u'source': [], u'incremental': False, u'withoutHeaders': False, u'columns': []}}","{u'totalDataSizeBytes': 20971520, u'importedColumns': [u'geography_id', u'country_name', u'country_code', u'continent', u'state_code', u'marine_area'], u'transaction': None, u'totalRowsCount': 295, u'warnings': []}",220006106.220008348,2016-12-07T09:38:24+0100,success,out.c-AdOps-rs.state_country_dim,https://connection.keboola.com/v2/storage/jobs/19733518
17,2016-12-07T09:38:09+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:38:16+0100,19733512,"{u'inCompressed': False, u'inBytesUncompressed': 117440512, u'outBytes': 0, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': False}",tableImport,"{u'queue': u'main', u'source': {u'type': u'workspace', u'workspaceId': u'43722', u'tableName': u'campaign_dim'}, u'params': {u'transaction': None, u'partial': False, u'source': [], u'incremental': False, u'withoutHeaders': False, u'columns': []}}","{u'totalDataSizeBytes': 117440512, u'importedColumns': [u'campaign_id', u'insertion_order', u'advertiser', u'salesgroup', u'campaigngroup', u'bookedimps', u'bookedclicks', u'priority', u'weight', u'deliveryrate', u'impoverrun', u'dailyimp', u'start_date', u'end_date', u'inventory_reservation', u'pages', u'contracted_revenue', u'billoffcontracted', u'cpm', u'cpc', u'cpa', u'flatrate', u'currency', u'billingnotes'], u'transaction': None, u'totalRowsCount': 10050, u'warnings': []}",220006106.220008348,2016-12-07T09:38:09+0100,success,out.c-AdOps-rs.campaign_dim,https://connection.keboola.com/v2/storage/jobs/19733512
18,2016-12-07T09:27:47+0100,"{u'id': u'42023', u'description': u'Orchestrator POC'}",2016-12-07T09:34:04+0100,19733302,"{u'inCompressed': False, u'inBytesUncompressed': 0, u'outBytes': 185302599, u'inBytes': 0, u'outBytesUncompressed': 185302599, u'outCompressed': False}",tableExport,"{u'queue': u'main', u'export': {u'changedUntil': None, u'format': u'rfc', u'gzipOutput': False, u'tableName': None, u'limit': None, u'columns': [], u'whereFilters': [], u'changedSince': 1480494467}}","{u'cacheHit': False, u'file': {u'id': 220009870}}",220002705.220008653,2016-12-07T09:33:18+0100,success,out.c-reports-rs.metrics,https://connection.keboola.com/v2/storage/jobs/19733302
19,2016-12-07T09:27:27+0100,"{u'id': u'42023', u'description': u'Orchestrator POC'}",2016-12-07T09:27:31+0100,19733298,"{u'inCompressed': False, u'inBytesUncompressed': 0, u'outBytes': 0, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': False}",workspaceDrop,"{u'queue': u'main_fast', u'workspaceId': u'43696'}",,220002705.220004657,2016-12-07T09:27:27+0100,success,,https://connection.keboola.com/v2/storage/jobs/19733298
